"bin","npaleo_sqrt","richness_sqrt","nformation_sqrt"
1.25,2.82842712474619,9.64365076099295,2.44948974278318
1.35,3.3166247903554,11.1803398874989,2.44948974278318
1.45,2.64575131106459,11.0905365064094,2.44948974278318
1.55,3.16227766016838,11.8321595661992,2.44948974278318
1.65,3,11.6189500386223,2.64575131106459
1.75,3.16227766016838,11.3578166916005,2.23606797749979
1.85,3,11.7473401244707,2.23606797749979
1.95,2,10.816653826392,2
2.05,2.23606797749979,11.2694276695846,2.23606797749979
2.15,1.4142135623731,8.18535277187245,1.4142135623731
2.25,1.73205080756888,8.54400374531753,1.4142135623731
2.35,2.23606797749979,8.54400374531753,1.73205080756888
2.45,2.23606797749979,8.77496438739212,2
2.55,2.64575131106459,10.4880884817015,2.23606797749979